Date,Map,SB Corp.,AV. Corp.,SB Score,AV Score,Total,Diff,Abs. Diff,Winner,Game #,SB_Win,SB Net Wins,SB Win Ratio,SB Total,AV Total,SB Net Score,Average Win Margin,Median Win Margin,Note,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
2025-03-23,Hellas,Credicor,Manutech,100,108,208,-8,8,AV,1,0,-1,0.0,100,108,-8,8.0,8.0,,,,,,,,,,,,,,,,,,
2025-03-23,Tharsis,Recyclon,Saturn,115,130,245,-15,15,AV,2,0,-2,0.0,215,238,-23,11.5,11.5,,,,Corp,SB n,SB win %,AV n,AV win %,n,Corp Win%,Wins,,Map ,Count,SB Win,SB%,AV Win,AV%
2025-03-25,Elysium,Viron,Helion,78,82,160,-4,4,AV,3,0,-3,0.0,293,320,-27,9.0,8.0,,,,Cinematics,0,,2,1,2,1,2,,Tharsis,49,27,0.5510204081632653,22,0.4489795918367347
2025-03-25,Tharsis,Mining Guild,Saturn,106,128,234,-22,22,AV,4,0,-4,0.0,399,448,-49,12.25,11.5,,,,Valley,8,0.875,4,0.75,12,0.8333333333333334,10,,Elysium,44,30,0.6818181818181818,14,0.3181818181818182
2025-03-28,Hellas,Aphrodite,Saturn,103,135,238,-32,32,AV,5,0,-5,0.0,502,583,-81,16.2,15.0,,,,Astrodrill,4,1,1,0,5,0.8,4,,Hellas,43,28,0.6511627906976745,15,0.3488372093023256
2025-03-28,Tharsis,Tharsis,Recyclon,82,104,186,-22,22,AV,6,0,-6,0.0,584,687,-103,17.166666666666668,18.5,,,,Manutech,8,0.875,6,0.5,14,0.7142857142857143,10,,Total,136,85,0.625,51,0.375
2025-03-29,Elysium,Viron,Inventrix,130,98,228,32,32,SB,7,1,-5,0.14285714285714285,714,785,-71,19.285714285714285,22.0,,,,Vitor,8,0.75,0,,8,0.75,6,,,,,,,
2025-03-29,Tharsis,Recyclon,Robinson,102,97,199,5,5,SB,8,1,-4,0.25,816,882,-66,17.5,18.5,,,,Celestic,7,0.8571428571428571,2,0.5,9,0.7777777777777778,7,,,,,,,
2025-03-30,Elysium,Saturn,Tharsis,101,109,210,-8,8,AV,9,0,-5,0.2222222222222222,917,991,-74,16.444444444444443,15.0,,,,Aphrodite,8,0.75,4,0.5,12,0.6666666666666666,8,,,,SB,AV,Combined,Diff
2025-03-30,Tharsis,Astrodrill,Arcadian,98,94,192,4,4,SB,10,1,-4,0.3,1015,1085,-70,15.2,11.5,,,,Morning Star,11,0.6363636363636364,3,0.6666666666666666,14,0.6428571428571429,9,,,Max Score,192,176,347,81
2025-03-31,Hellas,Tharsis,Thorgate,125,98,223,27,27,SB,11,1,-3,0.36363636363636365,1140,1183,-43,16.272727272727273,15.0,,,,Terractor,5,1,5,0.2,10,0.6,6,,,Min. Score,72,61,152,0
2025-04-01,Hellas,Arcadian,Inventrix,98,83,181,15,15,SB,12,1,-2,0.4166666666666667,1238,1266,-28,16.166666666666668,15.0,,,,Viron,7,0.7142857142857143,4,0.25,11,0.5454545454545454,6,,,Avg. Score,113.22058823529412,105.19117647058823,218.41176470588235,16.426470588235293
2025-04-01,Tharsis,Morning Star,Helion,72,90,162,-18,18,AV,13,0,-3,0.38461538461538464,1310,1356,-46,16.307692307692307,15.0,,,,Tharsis,11,0.6363636363636364,13,0.5384615384615384,24,0.5833333333333334,14,,,Median Score,110.5,104,218,12
2025-04-02,Elysium,Tharsis,Phobolog,117,80,197,37,37,SB,14,1,-2,0.42857142857142855,1427,1436,-9,17.785714285714285,16.5,,,,Arcadian,6,0.6666666666666666,10,0.4,16,0.5,8,,,,,,,
2025-04-02,Tharsis,Morning Star,Arcadian,109,112,221,-3,3,AV,15,0,-3,0.4,1536,1548,-12,16.8,15.0,,,,Saturn,7,0.42857142857142855,12,0.5,19,0.47368421052631576,9,,,,SB,AV,,
2025-04-05,Hellas,Tharsis,Cheung,102,103,205,-1,1,AV,16,0,-4,0.375,1638,1651,-13,15.8125,15.0,,,,United,1,1,3,0.3333333333333333,4,0.5,2,,,Win Margin Avg.,19.564705882352943,11.196078431372548,,
2025-04-05,Tharsis,Credicor,Manutech,74,121,195,-47,47,AV,17,0,-5,0.35294117647058826,1712,1772,-60,17.647058823529413,15.0,,,,Credicor,9,0.3333333333333333,8,0.625,17,0.47058823529411764,8,,,Avg Win Score,118.70588235294117,115.27450980392157,,
2025-04-06,Elysium,Recyclon,Credicor,136,111,247,25,25,SB,18,1,-4,0.3888888888888889,1848,1883,-35,18.055555555555557,16.5,,,,Ecoline,2,0,11,0.5454545454545454,13,0.46153846153846156,6,,,Avg Lose Score,104.07843137254902,99.14117647058823,,
2025-04-06,Tharsis,Tharsis,Cheung,121,104,225,17,17,SB,19,1,-3,0.42105263157894735,1969,1987,-18,18.0,17.0,,,,Recyclon,7,0.42857142857142855,4,0.5,11,0.45454545454545453,5,,,,,,,
2025-04-10,Hellas,Phobolog,Tharsis,109,120,229,-11,11,AV,20,0,-4,0.4,2078,2107,-29,17.65,16.0,,,,Helion,3,0.3333333333333333,7,0.42857142857142855,10,0.4,4,,,,,,,
2025-04-12,Elysium,Tharsis,Morning Star,92,102,194,-10,10,AV,21,0,-5,0.38095238095238093,2170,2209,-39,17.285714285714285,15.0,,,,Inventrix,5,0.6,2,0,7,0.42857142857142855,3,,,Games/Day,1.2952380952380953,,,
2025-04-12,Tharsis,Tharsis,Cheung,114,112,226,2,2,SB,22,1,-4,0.4090909090909091,2284,2321,-37,16.59090909090909,15.0,,,,Cheung,8,0.625,9,0.2222222222222222,17,0.4117647058823529,7,,,,,,,
2025-04-14,Tharsis,Saturn,Tharsis,80,96,176,-16,16,AV,23,0,-5,0.391304347826087,2364,2417,-53,16.565217391304348,15.0,,,,Thorgate,2,0.5,4,0,6,0.16666666666666666,1,,,,,,,
2025-04-15,Elysium,Robinson,Ecoline,87,105,192,-18,18,AV,24,0,-6,0.375,2451,2522,-71,16.625,15.5,,,,Phobolog,2,0.5,5,0,7,0.14285714285714285,1,,,,,,,
2025-04-15,Tharsis,Recyclon,Tharsis,90,114,204,-24,24,AV,25,0,-7,0.36,2541,2636,-95,16.92,16.0,,,,Mining Guild,2,0,6,0,8,0,0,,,,,,,
2025-04-17,Elysium,Valley,Credicor,95,94,189,1,1,SB,26,1,-6,0.38461538461538464,2636,2730,-94,16.307692307692307,15.5,,,,Pharmacy Union,1,0,0,,1,0,0,,,,,,,
2025-04-17,Tharsis,Credicor,Cinematics,86,91,177,-5,5,AV,27,0,-7,0.37037037037037035,2722,2821,-99,15.88888888888889,15.0,SB lost due to a bug,,,Point Luna,2,0,5,0,7,0,0,,,,,,,
2025-04-18,Hellas,Credicor,Saturn,127,148,275,-21,21,AV,28,0,-8,0.35714285714285715,2849,2969,-120,16.071428571428573,15.5,,,,Robinson,2,0,5,0,7,0,0,,,,,,,
2025-04-18,Tharsis,Credicor,Tharsis,78,89,167,-11,11,AV,29,0,-9,0.3448275862068966,2927,3058,-131,15.89655172413793,15.0,,,,Splice,0,,1,0,1,0,0,,,,,,,
2025-04-19,Hellas,Viron,Saturn,102,91,193,11,11,SB,30,1,-8,0.36666666666666664,3029,3149,-120,15.733333333333333,15.0,,,,,,,,,,,,,,,,,,
2025-04-19,Tharsis,Thorgate,Arcadian,74,80,154,-6,6,AV,31,0,-9,0.3548387096774194,3103,3229,-126,15.419354838709678,15.0,,,,,,,,,,,,,,,,,,
2025-04-20,Hellas,Arcadian,Tharsis,79,74,153,5,5,SB,32,1,-8,0.375,3182,3303,-121,15.09375,13.0,,,,sumcheck,136,,136,,,,136,,,,,,,
2025-04-20,Elysium,Manutech,Cheung,134,87,221,47,47,SB,33,1,-7,0.3939393939393939,3316,3390,-74,16.060606060606062,15.0,,,,,,,,,,,,,,,,,,
2025-04-20,Tharsis,Saturn,Terractor,118,100,218,18,18,SB,34,1,-6,0.4117647058823529,3434,3490,-56,16.11764705882353,15.0,,,,,,,,,,,,,,,,,,
2025-04-21,Elysium,Morning Star,Helion,90,84,174,6,6,SB,35,1,-5,0.42857142857142855,3524,3574,-50,15.82857142857143,15.0,,,,,,,,,,,,,,,,,,
2025-04-21,Tharsis,Tharsis,Credicor,132,136,268,-4,4,AV,36,0,-6,0.4166666666666667,3656,3710,-54,15.5,13.0,,,,,,,,,,,,,,,,,,
2025-04-24,Hellas,Cheung,Recyclon,106,111,217,-5,5,AV,37,0,-7,0.40540540540540543,3762,3821,-59,15.216216216216216,11.0,,,,,,,,,,,,,,,,,,
2025-04-24,Tharsis,Aphrodite,Point Luna,116,91,207,25,25,SB,38,1,-6,0.42105263157894735,3878,3912,-34,15.473684210526315,13.0,,,,,,,,,,,,,,,,,,
2025-04-25,Tharsis,Arcadian,Ecoline,93,95,188,-2,2,AV,39,0,-7,0.41025641025641024,3971,4007,-36,15.128205128205128,11.0,,,,,,,,,,,,,,,,,,
2025-04-29,Elysium,Celestic,Terractor,96,72,168,24,24,SB,40,1,-6,0.425,4067,4079,-12,15.35,13.0,,,,,,,,,,,,,,,,,,
2025-04-29,Tharsis,Vitor,Astrodrill,113,93,206,20,20,SB,41,1,-5,0.43902439024390244,4180,4172,8,15.463414634146341,15.0,,,,,,,,,,,,,,,,,,
2025-04-30,Hellas,Ecoline,Valley,123,145,268,-22,22,AV,42,0,-6,0.42857142857142855,4303,4317,-14,15.619047619047619,15.0,,,,,,,,,,,,,,,,,,
2025-04-30,Tharsis,Terractor,Saturn,78,74,152,4,4,SB,43,1,-5,0.4418604651162791,4381,4391,-10,15.348837209302326,15.0,,,,,,,,,,,,,,,,,,
2025-05-01,Elysium,Vitor,Mining Guild,131,92,223,39,39,SB,44,1,-4,0.45454545454545453,4512,4483,29,15.886363636363637,15.0,,,,,,,,,,,,,,,,,,
2025-05-02,Tharsis,Cheung,Terractor,94,82,176,12,12,SB,45,1,-3,0.4666666666666667,4606,4565,41,15.8,15.0,,,,,,,,,,,,,,,,,,
2025-05-02,Hellas,Celestic,Phobolog,124,119,243,5,5,SB,46,1,-2,0.4782608695652174,4730,4684,46,15.565217391304348,13.5,,,,,,,,,,,,,,,,,,
2025-05-03,Hellas,Cheung,Terractor,140,119,259,21,21,SB,47,1,-1,0.48936170212765956,4870,4803,67,15.680851063829786,15.0,,,,,,,,,,,,,,,,,,
2025-05-03,Tharsis,Cheung,Point Luna,118,88,206,30,30,SB,48,1,0,0.5,4988,4891,97,15.979166666666666,15.0,,,,,,,,,,,,,,,,,,
2025-05-04,Elysium,Saturn,Helion,98,99,197,-1,1,AV,49,0,-1,0.4897959183673469,5086,4990,96,15.673469387755102,15.0,,,,,,,,,,,,,,,,,,
2025-05-04,Tharsis,Inventrix,Terractor,81,101,182,-20,20,AV,50,0,-2,0.48,5167,5091,76,15.76,15.0,,,,,,,,,,,,,,,,,,
2025-05-05,Elysium,Astrodrill,Mining Guild,102,61,163,41,41,SB,51,1,-1,0.49019607843137253,5269,5152,117,16.254901960784313,15.0,,,,,,,,,,,,,,,,,,
2025-05-05,Tharsis,Saturn,Ecoline,144,110,254,34,34,SB,52,1,0,0.5,5413,5262,151,16.596153846153847,15.5,,,,,,,,,,,,,,,,,,
